Link,Name,Country,Born
https://www.espncricinfo.com/cricketers/aryan-lakra-1058989,Aryan Lakra,U.A.E.,2001-12-13
https://www.espncricinfo.com/cricketers/ali-naseer-1212829,Ali Naseer,U.A.E.,2004-03-09
https://www.espncricinfo.com/cricketers/aayan-afzal-khan-1241265,Aayan Afzal Khan,U.A.E.,2005-11-15
https://www.espncricinfo.com/cricketers/dhruv-parashar-1294144,Dhruv Parashar,U.A.E.,2004-12-20
https://www.espncricinfo.com/cricketers/akif-raja-681067,Akif Raja,U.A.E.,1992-11-24
https://www.espncricinfo.com/cricketers/najibullah-zadran-524049,Najibullah Zadran,Afghanistan,1993-02-28
https://www.espncricinfo.com/cricketers/darwish-rasooli-819441,Darwish Rasooli,Afghanistan,1999-12-12
https://www.espncricinfo.com/cricketers/qais-ahmad-914171,Qais Ahmad,Afghanistan,2000-08-15
https://www.espncricinfo.com/cricketers/noor-ahmad-1182529,Noor Ahmad,Afghanistan,2005-01-03
https://www.espncricinfo.com/cricketers/naveen-ul-haq-793447,Naveen-ul-Haq,Afghanistan,1999-09-23
https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175,Fazalhaq Farooqi,Afghanistan,2000-09-22
https://www.espncricinfo.com/cricketers/muhammad-jawadullah-1353033,Muhammad Jawadullah,U.A.E.,1999-03-12
https://www.espncricinfo.com/cricketers/junaid-siddique-1203754,Junaid Siddique,U.A.E.,1992-12-06
https://www.espncricinfo.com/cricketers/sharafuddin-ashraf-633362,Sharafuddin Ashraf,Afghanistan,1995-01-10
https://www.espncricinfo.com/cricketers/rahmat-shah-533956,Rahmat Shah,Afghanistan,1993-07-06
https://www.espncricinfo.com/cricketers/karim-janat-793467,Karim Janat,Afghanistan,1998-08-11
https://www.espncricinfo.com/cricketers/rohit-sharma-34102,Rohit Sharma,India,1987-04-30
https://www.espncricinfo.com/cricketers/shivam-dube-714451,Shivam Dube,India,1993-06-26
https://www.espncricinfo.com/cricketers/gulbadin-naib-352048,Gulbadin Naib,Afghanistan,1991-06-04
https://www.espncricinfo.com/cricketers/mujeeb-ur-rahman-974109,Mujeeb Ur Rahman,Afghanistan,2001-03-28
https://www.espncricinfo.com/cricketers/virat-kohli-253802,Virat Kohli,India,1988-11-05
https://www.espncricinfo.com/cricketers/sanju-samson-425943,Sanju Samson,India,1994-11-11
https://www.espncricinfo.com/cricketers/devon-conway-379140,Devon Conway,New Zealand,1991-07-08
https://www.espncricinfo.com/cricketers/kane-williamson-277906,Kane Williamson,New Zealand,1990-08-08
https://www.espncricinfo.com/cricketers/matt-henry-506612,Matt Henry,New Zealand,1991-12-14
https://www.espncricinfo.com/cricketers/saim-ayub-1161031,Saim Ayub,Pakistan,2002-05-24
https://www.espncricinfo.com/cricketers/mohammad-rizwan-323389,Mohammad Rizwan,Pakistan,1992-06-01
https://www.espncricinfo.com/cricketers/babar-azam-348144,Babar Azam,Pakistan,1994-10-15
https://www.espncricinfo.com/cricketers/fakhar-zaman-512191,Fakhar Zaman,Pakistan,1990-04-10
https://www.espncricinfo.com/cricketers/iftikhar-ahmed-480603,Iftikhar Ahmed,Pakistan,1990-09-03
https://www.espncricinfo.com/cricketers/azam-khan-1137262,Azam Khan,Pakistan,1998-08-10
https://www.espncricinfo.com/cricketers/shaheen-shah-afridi-1072470,Shaheen Shah Afridi,Pakistan,2000-04-06
https://www.espncricinfo.com/cricketers/aamer-jamal-793441,Aamer Jamal,Pakistan,1996-07-05
https://www.espncricinfo.com/cricketers/usama-mir-647667,Usama Mir,Pakistan,1995-12-23
https://www.espncricinfo.com/cricketers/abbas-afridi-1158538,Abbas Afridi,Pakistan,2001-04-05
https://www.espncricinfo.com/cricketers/haris-rauf-1161606,Haris Rauf,Pakistan,1993-11-07
https://www.espncricinfo.com/cricketers/mohammad-nawaz-348148,Mohammad Nawaz,Pakistan,1994-03-21
https://www.espncricinfo.com/cricketers/mohammad-wasim-1185538,Mohammad Wasim,Pakistan,2001-08-25
https://www.espncricinfo.com/cricketers/sahibzada-farhan-647785,Sahibzada Farhan,Pakistan,1996-03-06
https://www.espncricinfo.com/cricketers/will-young-547749,Will Young,New Zealand,1992-11-22
https://www.espncricinfo.com/cricketers/haseebullah-khan-1171127,Haseebullah Khan,Pakistan,2003-03-20
https://www.espncricinfo.com/cricketers/rachin-ravindra-959767,Rachin Ravindra,New Zealand,1999-11-18
https://www.espncricinfo.com/cricketers/lockie-ferguson-493773,Lockie Ferguson,New Zealand,1991-06-13
https://www.espncricinfo.com/cricketers/pathum-nissanka-1028655,Pathum Nissanka,Sri Lanka,1998-05-18
https://www.espncricinfo.com/cricketers/kusal-mendis-629074,Kusal Mendis,Sri Lanka,1995-02-02
https://www.espncricinfo.com/cricketers/kusal-perera-300631,Kusal Perera,Sri Lanka,1990-08-17
https://www.espncricinfo.com/cricketers/sadeera-samarawickrama-629076,Sadeera Samarawickrama,Sri Lanka,1995-08-30
https://www.espncricinfo.com/cricketers/charith-asalanka-784367,Charith Asalanka,Sri Lanka,1997-06-29
https://www.espncricinfo.com/cricketers/angelo-mathews-49764,Angelo Mathews,Sri Lanka,1987-06-02
https://www.espncricinfo.com/cricketers/wanindu-hasaranga-784379,Wanindu Hasaranga,Sri Lanka,1997-07-29
https://www.espncricinfo.com/cricketers/dasun-shanaka-437316,Dasun Shanaka,Sri Lanka,1991-09-09
https://www.espncricinfo.com/cricketers/dushmantha-chameera-552152,Dushmantha Chameera,Sri Lanka,1992-01-11
https://www.espncricinfo.com/cricketers/wellington-masakadza-571703,Wellington Masakadza,Zimbabwe,1993-10-04
https://www.espncricinfo.com/cricketers/dhananjaya-de-silva-465793,Dhananjaya de Silva,Sri Lanka,1991-09-06
https://www.espncricinfo.com/cricketers/david-warner-219889,David Warner,Australia,1986-10-27
https://www.espncricinfo.com/cricketers/alzarri-joseph-670031,Alzarri Joseph,West Indies,1996-11-20
https://www.espncricinfo.com/cricketers/roston-chase-391832,Roston Chase,West Indies,1992-03-22
