Match Date,Name,Overs,Maiden,Runs,Wicket,No Ball,Wide,Economy,Country,Born,Team,Venue,Season
2019-04-20,Jaydev Unadkat,4.0,0,46,1,0,3,11.5,India,1991-10-18,RR,Jaipur,2019
2019-04-20,Riyan Parag,2.0,0,17,0,0,0,8.5,India,2001-11-10,RR,Jaipur,2019
2019-04-20,Hardik Pandya,4.0,0,31,0,0,0,7.8,India,1993-10-11,MI,Jaipur,2019
2019-04-20,Krunal Pandya,2.0,0,24,0,0,0,12.0,India,1991-03-24,MI,Jaipur,2019
2019-04-20,Lasith Malinga,3.1,0,27,0,0,0,8.5,Sri Lanka,1983-08-28,MI,Jaipur,2019
2019-04-20,Rahul Chahar,4.0,0,29,3,0,0,7.2,India,1999-08-04,MI,Jaipur,2019
2019-04-20,Jasprit Bumrah,4.0,0,21,1,0,0,5.2,India,1993-12-06,MI,Jaipur,2019
2019-04-20,Mayank Markande,2.0,0,24,0,0,0,12.0,India,1997-11-11,MI,Jaipur,2019
2019-04-20,Ishant Sharma,4.0,0,29,0,0,2,7.2,India,1988-09-02,DC,Delhi,2019
2019-04-20,Sandeep Lamichhane,4.0,0,40,3,0,0,10.0,Nepal,2000-08-02,DC,Delhi,2019
2019-04-20,Kagiso Rabada,4.0,0,23,2,0,0,5.8,South Africa,1995-05-25,DC,Delhi,2019
2019-04-20,Amit Mishra,4.0,0,41,0,0,0,10.2,India,1982-11-24,DC,Delhi,2019
2019-04-20,Axar Patel,3.0,0,22,2,0,0,7.3,India,1994-01-20,DC,Delhi,2019
2019-04-20,Sherfane Rutherford,1.0,0,5,0,0,0,5.0,West Indies,1998-08-15,DC,Delhi,2019
2019-04-20,Mohammed Shami,4.0,0,21,1,0,0,5.2,India,1990-09-03,KXP,Delhi,2019
2019-04-20,Sam Curran,3.4,0,34,0,1,1,9.3,England,1998-06-03,KXP,Delhi,2019
2019-04-20,Hardus Viljoen,4.0,0,39,2,0,1,9.8,South Africa,1989-03-06,KXP,Delhi,2019
2019-04-20,Harpreet Brar,2.0,0,24,0,0,0,12.0,India,1995-09-16,KXP,Delhi,2019
2019-04-20,Ravichandran Ashwin,3.0,0,26,0,0,2,8.7,India,1986-09-17,KXP,Delhi,2019
2019-04-20,Murugan Ashwin,3.0,0,20,0,1,3,6.7,India,1990-09-08,KXP,Delhi,2019
2019-04-21,Bhuvneshwar Kumar,4.0,0,35,2,0,1,8.8,India,1990-02-05,SH,Hyderabad,2019
2019-04-21,Shahbaz Nadeem,4.0,0,30,0,0,0,7.5,India,1989-08-12,SH,Hyderabad,2019
2019-04-21,Khaleel Ahmed,4.0,0,33,3,0,3,8.2,India,1997-12-05,SH,Hyderabad,2019
2019-04-21,Sandeep Sharma,4.0,0,37,1,0,0,9.2,India,1993-05-18,SH,Hyderabad,2019
2019-04-21,Rashid Khan,4.0,0,23,1,0,0,5.8,Afghanistan,1998-09-20,SH,Hyderabad,2019
2019-04-21,Harry Gurney,2.0,0,16,0,0,1,8.0,England,1986-10-25,KKR,Hyderabad,2019
2019-04-21,Prithvi Raj Yarra,3.0,0,29,1,0,2,9.7,India,1998-02-20,KKR,Hyderabad,2019
2019-04-21,Piyush Chawla,3.0,0,38,0,0,0,12.7,India,1988-12-24,KKR,Hyderabad,2019
2019-04-21,Sunil Narine,4.0,0,34,0,0,0,8.5,West Indies,1988-05-26,KKR,Hyderabad,2019
2019-04-21,KC Cariappa,2.0,0,34,0,0,1,17.0,India,1994-04-13,KKR,Hyderabad,2019
2019-04-21,Andre Russell,1.0,0,8,0,0,0,8.0,West Indies,1988-04-29,KKR,Hyderabad,2019
2019-04-21,Deepak Chahar,4.0,0,25,2,0,1,6.2,India,1992-08-07,CSK,Bengaluru,2019
2019-04-21,Shardul Thakur,4.0,0,40,0,0,1,10.0,India,1991-10-16,CSK,Bengaluru,2019
